job_id,job_type,location,language,salary,safety_level,distance_km,stay_available
J001,Tailoring,Hyderabad,Telugu,8000,High,5,No
J002,Maid,Vijayawada,Telugu,7000,Medium,10,No
J003,Farm,Coimbatore,Tamil,6000,High,7,Yes
J004,Delivery,Chennai,Tamil,9000,Medium,12,No
J005,Helper,Delhi,Hindi,7500,High,8,No
J006,Tailoring,Warangal,Telugu,8500,High,6,No
J007,Maid,Visakhapatnam,Telugu,7200,Medium,9,No
J008,Farm,Salem,Tamil,5800,High,5,Yes
J009,Delivery,Madurai,Tamil,9100,Medium,15,No
J010,Helper,Agra,Hindi,7600,High,7,No
J011,Tailoring,Nizamabad,Telugu,8000,Medium,4,No
J012,Maid,Guntur,Telugu,7100,Medium,8,No
J013,Farm,Tirunelveli,Tamil,6000,High,6,Yes
J014,Delivery,Coimbatore,Tamil,9200,Medium,13,No
J015,Helper,Jaipur,Hindi,7400,High,10,No
J016,Tailoring,Kurnool,Telugu,8300,High,7,No
J017,Maid,Eluru,Telugu,7000,Medium,9,No
J018,Farm,Erode,Tamil,5900,High,8,Yes
J019,Delivery,Salem,Tamil,9000,Medium,11,No
J020,Helper,Lucknow,Hindi,7500,High,9,No
J021,Tailoring,Srikakulam,Telugu,8100,Medium,6,No
J022,Maid,Tirupati,Telugu,7200,Medium,7,No
J023,Farm,Chennai,Tamil,6100,High,10,Yes
J024,Delivery,Trichy,Tamil,9300,Medium,14,No
J025,Helper,Gorakhpur,Hindi,7600,High,12,No
J026,Tailoring,Anantapur,Telugu,8200,High,5,No
J027,Maid,Nellore,Telugu,7100,Medium,8,No
J028,Farm,Coimbatore,Tamil,6000,High,9,Yes
J029,Delivery,Chennai,Tamil,9400,Medium,13,No
J030,Helper,Kanpur,Hindi,7700,High,8,No
J031,Tailoring,Hyderabad,Telugu,8300,High,6,No
J032,Maid,Vijayawada,Telugu,7300,Medium,10,No
J033,Farm,Salem,Tamil,5900,High,7,Yes
J034,Delivery,Madurai,Tamil,9100,Medium,12,No
J035,Helper,Delhi,Hindi,7500,High,9,No
J036,Tailoring,Warangal,Telugu,8400,High,5,No
J037,Maid,Visakhapatnam,Telugu,7200,Medium,8,No
J038,Farm,Tirunelveli,Tamil,6000,High,6,Yes
J039,Delivery,Coimbatore,Tamil,9200,Medium,11,No
J040,Helper,Jaipur,Hindi,7400,High,10,No
J041,Tailoring,Nizamabad,Telugu,8100,Medium,4,No
J042,Maid,Guntur,Telugu,7000,Medium,9,No
J043,Farm,Erode,Tamil,5800,High,8,Yes
J044,Delivery,Salem,Tamil,9000,Medium,13,No
J045,Helper,Lucknow,Hindi,7600,High,9,No
J046,Tailoring,Kurnool,Telugu,8300,High,7,No
J047,Maid,Eluru,Telugu,7100,Medium,8,No
J048,Farm,Chennai,Tamil,6100,High,10,Yes
J049,Delivery,Trichy,Tamil,9300,Medium,14,No
J050,Helper,Gorakhpur,Hindi,7600,High,12,No
